Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,170.550003,173.250000,169.850006,173.050003,145.927429,5717100
2011-01-04,173.869995,174.000000,172.000000,173.080002,145.952728,3335500
2011-01-05,172.050003,174.490005,172.000000,174.000000,146.728546,4140600
2011-01-06,174.509995,174.589996,171.979996,172.210007,145.219131,5375200
2011-01-07,172.699997,172.889999,169.360001,170.690002,143.937347,4916100
2011-01-10,170.000000,171.289993,169.199997,169.759995,143.153122,3650300
2011-01-11,170.500000,171.429993,168.320007,169.360001,142.815781,4572300
2011-01-12,169.389999,172.309998,169.179993,171.669998,144.763748,5592900
2011-01-13,172.039993,172.600006,171.000000,171.570007,144.679413,3183800
2011-01-14,171.190002,175.000000,171.190002,175.000000,147.571793,5885100
2011-01-18,174.750000,175.339996,173.050003,174.679993,147.301926,4981200
2011-01-19,169.460007,171.490005,165.860001,166.490005,140.395691,13372700
2011-01-20,166.550003,167.059998,164.009995,165.690002,139.721024,8914900
2011-01-21,165.880005,169.199997,165.119995,166.199997,140.151093,5876500
2011-01-24,165.990005,167.070007,165.750000,166.300003,140.235413,4624300
2011-01-25,163.050003,164.789993,160.119995,161.979996,136.592468,11259800
2011-01-26,161.699997,162.839996,161.039993,161.309998,136.027496,6738000
2011-01-27,161.130005,164.250000,161.110001,164.029999,138.321228,6036000
2011-01-28,164.160004,165.089996,161.419998,161.770004,136.415421,4570000
2011-01-31,161.380005,163.720001,161.229996,163.619995,137.975433,3792800
2011-02-01,163.860001,166.250000,163.610001,165.330002,139.417450,4138400
2011-02-02,165.149994,166.639999,164.199997,165.050003,139.181335,2986200
2011-02-03,164.990005,164.990005,161.839996,164.639999,138.835571,4710400
2011-02-04,164.880005,164.979996,162.759995,164.830002,138.995758,3354500
2011-02-07,164.789993,168.100006,164.600006,167.130005,140.935287,5036700
2011-02-08,167.020004,168.720001,166.259995,168.550003,142.132751,4718700
2011-02-09,168.229996,168.229996,164.660004,166.009995,139.990814,5663900
2011-02-10,165.149994,166.649994,164.679993,165.339996,139.425827,4265800
2011-02-11,165.110001,167.690002,164.809998,166.660004,140.538986,4257100
2011-02-14,166.149994,167.800003,165.509995,167.520004,141.264175,3547200
2011-02-15,167.320007,168.440002,166.820007,167.910004,141.593063,4025900
2011-02-16,168.559998,169.899994,168.000000,168.809998,142.351990,4606300
2011-02-17,168.539993,168.690002,167.000000,167.160004,140.960617,4448100
2011-02-18,167.039993,168.300003,166.850006,168.039993,141.702713,3728100
2011-02-22,165.669998,165.759995,162.350006,162.940002,137.402008,5448200
2011-02-23,162.630005,164.800003,161.770004,163.089996,137.528488,4560400
2011-02-24,162.199997,163.899994,161.320007,163.440002,137.823669,4619300
